category,amc,etf,benchmark_index,website_link,nse_ticker,bse_ticker,isin_code,date_of_inception,aum_in_cores,expense_ratio,overall_tracking_error,overall_tracking_difference,years_in_operation
Nifty 200,Aditya Birla Sun Life MF,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,Nifty 200 Momentum 30 TRI,https://mutualfund.adityabirlacapital.com/products/wealth-creation-solutions/aditya-birla-sun-life-nifty-200-momentum-30-etf,MOMENTUM,543575,INF209KB14K7,19-08-2022,46.55,0.29,0.26,-0.5,3.27
Nifty 200,Aditya Birla Sun Life MF,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,Nifty 200 Quality 30 TRI,https://mutualfund.adityabirlacapital.com/products/wealth-creation-solutions/aditya-birla-sun-life-nifty-200-quality-30-etf,NIFTYQLITY,543574,INF209KB15K4,19-08-2022,28.89,0.29,0.07,-0.38,3.27
Nifty 50,Aditya Birla Sun Life MF,Aditya Birla Sun Life Nifty 50 ETF,Nifty 50 TRI,https://mutualfund.adityabirlacapital.com/products/wealth-creation-solutions/aditya-birla-sun-life-nifty-50-etf,BSLNIFTY,543474,INF209KB19DI,22-07-2011,2988,0.04,0.03,-0.17,14.32
SENSEX,Aditya Birla Sun Life MF,Aditya Birla Sun Life BSE Sensex ETF,S&P BSE Sensex TRI,https://mutualfund.adityabirlacapital.com/products/wealth-creation-solutions/aditya-birla-sun-life-bse-sensex-etf,BSLSENETFG,540008,INF209KB10E8,18-07-2016,289,0.04,0.03,-1.35,9.34
Nifty Next 50,Aditya Birla Sun Life MF,Aditya Birla Sun Life Nifty Next 50 ETF,Nifty Next 50 TRI,https://mutualfund.adityabirlacapital.com/products/wealth-creation-solutions/aditya-birla-sun-life-nifty-next-50-etf,ABSLNN50ET,542230,INF209KB16D7,11-08-2012,96.06,0.09,0.11,-0.23,13.28
Nifty Total Market,Angel One Mutual Fund,Angel One Nifty Total Market ETF,Nifty Total Market TRI,https://www.angelone.in/mutual-funds/mf-schemes/angel-one-nifty-total-market-etf-direct-plan,AONETOTAL,,INF1J2R01015,28-02-2025,43.86,0.28,0.03,,0.74
Nifty 50,Axis Mutual Fund,Axis Nifty 50 ETF,Nifty 50 TRI,https://www.axismf.com/mutual-funds/etfs/axis-nifty-50-etf/ne-gp,AXISNIFTY,,INF846K01W98,03-07-2017,1101,0.04,0.03,0.02,8.36
SENSEX,Axis Mutual Fund,Axis S&P BSE SENSEX ETF,S&P BSE Sensex TRI,https://www.axismf.com/mutual-funds/etfs/axis-bse-sensex-etf/pe-gp,AXSENSEX,543853,INF846K010Q0,29-03-2023,136,0.04,0.03,-0.26,2.64
Nifty 500,Axis Mutual Fund,Axis Nifty500 Value 50 ETF,NIFTY 500 Value 50 TRI,https://www.axismf.com/mutual-funds/etfs/axis-nifty500-value-50-etf/ve-gp,AXISVALUE,544382,INF846KA1119,20-03-2025,15.22,0..25,0.79,1.21,0.68
Nifty 50,Bandhan Mutual Fund,Bandhan Nifty 50 ETF,Nifty 50 TRI,https://hubmobile.bandhanamc.com/etf/,IDFNIFTYET,,INF194KA1U07,07-10-2016,21,0.09,0.03,-0.24,9.1
Nifty 50,DSP Mutual Fund,DSP Nifty 50 ETF,Nifty 50 TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/nifty-50/dnyet-direct-growth#schemeFundDetails,NIFTY50ADD,543440,INF740KA1CL0,30-12-2021,160,0.07,0.02,-0.01,3.87
SENSEX,DSP Mutual Fund,DSP BSE Sensex ETF,S&P BSE Sensex TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/s-p-bse-sensex-etf/dspbs-direct-growth,SENSEXADD,543947,INF740KA1SZ6,02-08-2023,8.46,0.08,0.02,0.27,2.3
Nifty MidCap 150,DSP Mutual Fund,DSP Nifty Midcap 150 Quality 50 ETF,Nifty Midcap 150 Quality 50 TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/nifty-midcap-150-quality-50/dnmcf-direct-growth#schemeFundDetails,MIDQ50ADD,,INF740KA1QL0,30-12-2021,104.35,0.3,0.09,-0.25,3.91
Nifty 500,DSP Mutual Fund,DSP Nifty500 Flexicap Quality 30 ETF,Nifty500 Flexicap Quality 30 TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/dsp-nifty500-flexicap-quality-30-etf/dnfqe-direct-growth,FLEXIADD,544581,INF740KA1WU9,16-10-2025,10.33,0.31,0.01,0.14,0.13
Nifty 50,DSP Mutual Fund,DSP Nifty 50 Equal Weight ETF,Nifty 50 Equal Weight TRI,https://www.dspim.com/invest/mutual-fund-schemes/exchange-traded-funds/nifty-50-equal-weight/dnew-direct-daily-idcw,EQUAL50ADD,543388,INF740KA1QK2,08-11-2021,609.68,0.2,0.03,-0.37,4.08
Nifty 500,Edelweiss Mutual Fund,Edelweiss Nifty 500 Multicap MQ 50 ETF,Nifty500 Multicap Momentum Quality 50 TRI,https://www.edelweissmf.com/types-of-mutual-funds/index-fund/edelweiss-nifty500-multicap-momentum-quality-50-etf,EMULTIMQ,,INF754K01TF1,07-11-2024,31.1,0.31,0.47,-0.59,1.05
Nifty LargeMidcap 250,Edelweiss Mutual Fund,Edelweiss Nifty LargeMidcap 250 ETF,Nifty LargeMidcap 250 TRI,https://www.edelweissmf.com/factsheet/factsheets/Exchange-Traded-Funds/Nifty-LargeMidcap-250-ETF.html,ELM250,,INF754K01VV4,09-09-2025,80.2,1.09,0.06,0.04,0.21
Nifty 200,Groww Mutual Fund,Groww Nifty 200 ETF,Nifty 200 TRI,https://groww.in/etfs/groww-nifty-etf,GROWWN200,,INF666M01JV1,28-02-2025,0.12,0.35,0,,0.74
Nifty 500,Groww Mutual Fund,Groww Nifty 500 Momentum 50 ETF,Nifty 500 Momentum 50 TRI,https://groww.in/etfs/groww-nifty-momentum-etf,GROWWMOM50,,INF666M01KJ4,24-04-2025,20.29,0.44,,,0.59
Nifty 500,Groww Mutual Fund,Groww Nifty 500 Low Volatility 50 ETF,Nifty 500 Low Volatility 50 TRI,https://groww.in/etfs/groww-nifty-500-low-volatility-50-etf-ltd,GROWWLOVOL,,INF666M01LB9,17-06-2025,4.79,0.32,,,0.44
Nifty 50,Groww Mutual Fund,Groww Nifty 50 ETF,Nifty 50 TRI,https://www.growwmf.in/downloads/sid,GROWWNIFTY,,INF666M01LL8,22-07-2025,12,0.16,0,,0.3
Nifty Next 50,Groww Mutual Fund,Groww Nifty Next 50 ETF,Nifty Next 50 TRI,https://groww.in/etfs/groww-nifty-next-50-etf-ltd,GROWWNXT50,,INF666M01LZ8,26-08-2025,,,0,,0.24
Nifty SmallCap 250,Groww Mutual Fund,Groww Nifty SmallCap ETF,Nifty SmallCap 250 TRI,https://groww.in/etfs/groww-nifty-smallcap-etf,GROWWSC250,,INF666M01MO0,30-10-2025,8.22,0.3,0,,0.07
Nifty 200,HDFC Mutual Fund,HDFC Nifty200 Momentum 30 ETF,Nifty 200 Momentum 30 TRI,https://www.hdfcfund.com/explore/mutual-funds/hdfc-nifty200-momentum-30-etf/regular,HDFCMOMENT,543628,INF179KC1HV6,17-10-2022,98.75,0.3,0.16,-0.66,3.11
Nifty 50,HDFC Mutual Fund,HDFC Nifty 50 ETF,Nifty 50 TRI,https://www.hdfcfund.com/explore/mutual-funds/hdfc-nifty-50-exchange-traded-fund/regular,HDFCNIFTY,539516,INF179KC1965,16-12-2015,4721,0.05,0.02,-0.13,9.91
Nifty 50,HDFC Mutual Fund,HDFC NIFTY50 VALUE 20 ETF,NIFTY50 VALUE 20 Index,https://www.hdfcfund.com/explore/mutual-funds/hdfc-nifty50-value-20-etf/regular,HDFCVALUE,,INF179KC1DK8,29-09-2022,36.53,0.2,0.05,-0.33,3.19
SENSEX,HDFC Mutual Fund,HDFC S&P BSE Sensex ETF,S&P BSE Sensex TRI,https://www.hdfcfund.com/explore/mutual-funds/hdfc-bse-sensex-etf/regular,HDFCSENSEX,539517,INF179KC1HX2,09-12-2015,548,0.05,0.02,0.02,9.95
Nifty Next 50,HDFC Mutual Fund,HDFC Nifty Next 50 ETF,Nifty Next 50 TRI,https://www.hdfcfund.com/explore/mutual-funds/hdfc-nifty-next-50-exchange-traded-fund/regular,HDFCNEXT50,543570,INF179KC1HS2,11-08-2022,94.01,0.25,0.05,-0.36,3.28
Nifty 100,HDFC Mutual Fund,HDFC Nifty 100 ETF,Nifty 100 TRI,https://www.hdfcfund.com/explore/mutual-funds/hdfc-nifty-100-exchange-traded-fund/regular,HDFCNIF100,543569,INF179KC1HR4,11-08-2022,38.97,0.3,0.02,-0.4,3.28
Nifty 100,HDFC Mutual Fund,HDFC NIFTY100 Quality 30 ETF,Nifty100 Quality 30 TRI,https://www.hdfcfund.com/explore/mutual-funds/hdfc-nifty-100-quality-30-etf/regular,HDFCQUAL,543605,INF179KC1DL6,29-09-2022,22.55,0.3,0.08,-0.27,3.15
Nifty 100,HDFC Mutual Fund,HDFC Nifty100 Low Volatility 30 ETF,Nifty100 Low Volatility 30 TRI,https://www.hdfcfund.com/explore/mutual-funds/hdfc-nifty100-low-volatility-30-etf/regular,HDFCLOWVOL,543627,INF179KC1HU8,17-10-2022,13.87,0.3,0.03,-0.53,3.1
Nifty SmallCap 250,HDFC Mutual Fund,HDFC NIFTY Smallcap 250 ETF,Nifty SmallCap 250 TRI,https://www.hdfcfund.com/explore/mutual-funds/hdfc-nifty-smallcap-250-etf/regularWebsite link,HDFCSML250,543775,INF179KC1FB2,21-02-2023,1475.69,0.25,0.09,0.33,2.76
SENSEX,ICICI Prudential MF,ICICI Prudential BSE Sensex ETF,S&P BSE Sensex TRI,https://www.icicietf.com/funds/equity-etf/icici-prudential-bse-sensex-etf,SENSEXIETF,555555,INF346A01034,23-07-2014,23154.82,0.02,0.02,0.5,11.33
Nifty Next 50,ICICI Prudential MF,ICICI Prudential Nifty Next 50 ETF,Nifty Next 50 TRI,https://digitalfactsheet.icicipruamc.com/passive/icici-prudential-nifty-next-50-etf.php,NEXT50IETF,541809,INF109KC1NS5,30-08-2018,1847.78,0.1,0.05,-0.25,7.23
Nifty 100,ICICI Prudential MF,ICICI Prudential Nifty 100 ETF,Nifty 100 TRI,https://digitalfactsheet.icicipruamc.com/passive/icici-prudential-nifty-100-etf.php,NIF100IETF,537008,INF109KC16V9,26-08-2016,154.02,0.48,0.02,-0.4,9.24
Nifty 100,ICICI Prudential MF,ICICI Prudential Nifty 100 Low Volatility 30 ETF,Nifty 100 Low Volatility 30 TRI,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://digitalfactsheet.icicipruamc.com/passive/pdf/icici-prudential-nifty-100-low-volatility-30-etf.pdf,LOWVOLIETF,540612,INF109KC19U5,10-07-2017,3809.13,0.41,0.05,-0.44,8.37
Nifty 50,ICICI Prudential MF,ICICI Prudential Nifty 50 ETF,Nifty 50 TRI,https://www.icicietf.com/funds/equity-etf/icici-prudential-nifty-50-etf,NIFTYIIETF,537007,INF109K012R6,20-03-2013,32453,0.02,0.02,-0.13,12.65
Nifty 200,ICICI Prudential MF,ICICI Prudential Nifty 200 Momentum 30 ETF,Nifty 200 Momentum 30 TRI,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://digitalfactsheet.icicipruamc.com/passive/pdf/icici-prudential-nifty-200-momentum-30-etf.pdf,MOM30IETF,543568,INF109KC17C7,10-08-2022,615.4,0.3,0.24,-0.41,3.29
Nifty 200,ICICI Prudential MF,ICICI Prudential Nifty 200 Quality 30 ETF,Nifty 200 Quality 30 TRI,https://www.icicietf.com/funds/equity-etf/icici-prudential-nifty-200-quality-30-etf,QUAL30IETF,,INF109KC18V5,10-08-2023,175,0.3,0.05,-0.46,2.29
Nifty 200,Kotak Mahindra Mutual Fund,Kotak Nifty 200 Quality 30 ETF,Nifty 200 Quality 30 TRI,https://www.kotakmf.com/mutual-funds/passive-funds/kotak-nifty200-quality-30-etf,QUALITY30,,INF174KA1WT6,18-07-2025,0.01,0.25,0.05,-0.26,0.35
Nifty 200,Kotak Mahindra Mutual Fund,Kotak Nifty 200 Momentum 30 ETF,Nifty 200 Momentum 30 TRI,https://www.kotakmf.com/mutual-funds/passive-funds/kotak-nifty-200-momentum-30-etf,MOMENTUM30,,INF174KA1XS6,17-10-2025,5.23,0.24,0.44,-2.62,0.1
Nifty 50,Kotak Mahindra Mutual Fund,Kotak Mahindra Nifty 50 ETF,Nifty 50 TRI,https://www.kotakmf.com/mutual-funds/passive-funds/kotak-nifty-50-etf,NIFTY1,,INF174K014P6,11-02-2010,3140,0.03,0.02,-0.05,15.76
SENSEX,Kotak Mahindra Mutual Fund,Kotak S&P BSE Sensex ETF,S&P BSE Sensex TRI,https://www.kotakmf.com/mutual-funds/passive-funds/kotak-bse-sensex-etf,,532985,INF194KA1T91,06-06-2008,91.13,0.18,0.02,-0.2,17.46
Nifty 100,Kotak Mahindra Mutual Fund,Kotak Nifty 100 Low Volatility 30 ETF,Nifty 100 Low Volatility 30 TRI,https://www.kotakmf.com/factsheet/June_2025/kotak/KOTAK-NIFTY-100-LOW-VOLATILITY-30-ETF.html,LOWVOL1,,INF174KA1IY5,29-03-2022,170.53,0.09,0.04,-0.24,3.65
Nifty 100,Kotak Mahindra Mutual Fund,Kotak Nifty 100 Equal Weight ETF,Nifty 100 Equal Weight TRI,https://www.kotakmf.com/factsheet/october_2025/kotak/KOTAK-Nifty-100-Equal-Weight-ETF.html,NIFTY100EW,,INF174KA1UW4,04-03-2025,2.88,0.25,0.15,-0.57,0.72
Nifty Midcap 50,Kotak Mahindra Mutual Fund,Kotak Nifty Midcap 50 ETF,Nifty Midcap 50 TRI,https://www.kotakmf.com/mutual-funds/passive-funds/kotak-nifty-midcap-50-etf,MIDCAP,,INF174KA1IB3,04-02-2022,87,0.05,0.14,-0.48,3.81
Nifty Alpha 50,Kotak Mahindra Mutual Fund,Kotak Nifty Alpha 50 ETF,Nifty Alpha 50 TRI,https://www.kotakmf.com/mutual-funds/passive-funds/kotak-nifty-alpha-50-etf,ALPHA,,INF174KA1IA5,29-12-2021,748,0.3,0.27,-2.06,3.94
Nifty 50,LIC Mutual Fund,LIC Nifty 50 ETF,Nifty 50 TRI,https://www.licmf.com/snapshot/lic-mf-etf-nifty-50/LIC175,LICNETFN50,,INF767K01OS7,30-11-2015,863,0.06,0.06,-0.18,9.95
SENSEX,LIC Mutual Fund,LIC MF Exchange Traded Fund- SENSEX9,S&P BSE Sensex TRI,https://www.licmf.com/snapshot/lic-mf-bse-sensex-etf/LIC176,LICNETFSEN,539487,INF767K01OT5,30-11-2015,766,0.11,0.09,-0.1,9.98
Nifty 100,LIC Mutual Fund,LIC MF Exchange Traded Fund - Nifty 100,Nifty 100 TRI,https://www.licmf.com/snapshot/lic-mf-etf-nifty-100/LIC177,LICNFNHGP,539784,INF767K01PC8,28-03-2016,769.66,0.28,0.08,-0.38,9.66
Nifty 200,Mirae Asset Mutual Fund,Mirae Asset Nifty 200 Alpha 30 ETF,Nifty 200 Alpha 30 Index,chrome-extension://efaidnbmnnnibpcajpcglclefindmkaj/https://www.miraeassetmf.co.in/docs/default-source/product-presentations/nifty-200-alpha-30-etf-ppt.pdf,ALPHAETF,,INF769K01KU7,27-10-2023,432,0.47,0.25,-0.88,2.08
SENSEX,Mirae Asset Mutual Fund,Mirae Asset S&P BSE Sensex ETF,S&P BSE Sensex TRI,https://www.miraeassetmf.co.in/mutual-fund-scheme/etf/mirae-asset-s-p-bse-sensex-etf,SENSEXETF,543999,INF769K01KT9,06-10-2023,20,0.05,0.03,-0.1,2.12
Nifty Next 50,Mirae Asset Mutual Fund,Mirae Asset Nifty Next 50 ETF (MANxt50ETF),Nifty Next 50 TRI,https://www.miraeassetmf.co.in/mutual-fund-scheme/etf/mirae-asset-nifty-next-50-etf,NEXT50,542922,INF769K01FN2,31-01-2020,872.46,0.05,0.13,-0.48,5.81
Nifty 50,Mirae Asset Mutual Fund,Mirae Asset Nifty 50 ETF,Nifty 50 TRI,https://www.miraeassetmf.co.in/mutual-fund-scheme/etf/mirae-asset-nifty-50-etf,NIFTYETF,,INF769K01EG9,26-11-2018,4489,0.04,0.02,-0.12,6.96
Nifty 500,Mirae Asset Mutual Fund,Mirae Asset Nifty 500 Multicap ETF,Nifty 500 MultiCap 50:25:25 TRI,https://www.miraeassetmf.co.in/mutual-fund-scheme/etf/mirae-asset-nifty500-multicap-50-25-25-etf,MULTICAP,,INF769K01LX9,05-09-2024,51.56,0,0.08,-0.3,1.22
Nifty SmallCap 250,Mirae Asset Mutual Fund,Mirae Asset Nifty Smallcap 250 Momentum Quality 100 ETF,Nifty Smallcap250 Momentum Quality 100 TRI,https://miraeassetetf.co.in/our-etfs/fund?nseSymbol=SMALLCAP,SMALLCAP,544130,INF769K01LC3,29-02-2024,714.95,0.47,0.21,-0.81,1.74
Nifty MidSmallCap 400,Mirae Asset Mutual Fund,Mirae Asset Nifty MidSmallcap400 Momentum Quality 100 ETF,Nifty MidSmallcap400 Momentum Quality 100 TRI,https://www.miraeassetmf.co.in/mutual-fund-scheme/etf/mirae-asset-nifty-midsmallcap400-momentum-quality-100-etf,MIDSMALL,544180,INF769K01LJ8,28-05-2024,50.72,0.46,0.12,-0.58,1.5
Nifty 50,Mirae Asset Mutual Fund,Mirae Asset Nifty50 Equal Weight ETF,Nifty 50 Equal Weight TRI,https://miraeassetetf.co.in/our-etfs/fund?nseSymbol=EQUAL50,EQUAL50,544401,INF769K01OO2,15-05-2025,92.28,0.11,0.21,-0.21,0.56
Nifty 50,Motilal Oswal Mutual Fund,Motilal Oswal Nifty 50 ETF,Nifty 50 TRI,https://www.motilaloswalmf.com/etf/motilal-oswal-nifty-50-etf#Overview,MOM50,,INF247L01536,30-07-2010,59,0.05,0.02,-1.17,15.29
Nifty Next 50,Motilal Oswal Mutual Fund,Motilal Oswal Nifty Next 50 ETF,Nifty Next 50 TRI,https://www.motilaloswalmf.com/mutual-funds/motilal-oswal-nifty-next-50-index-fund,MONEXT50,,INF247L01FD8,14-05-2025,1.45,0.2,0.26,-0.17,0.52
Nifty 100,Motilal Oswal Mutual Fund,Motilal Oswal Nifty 100 ETF,Nifty 100 TRI,https://www.motilaloswalmf.com/etf/motilal-oswal-nifty-100-etf,,,INF247L01GG9,13-10-2025,,0.5,0.07,-0.19,0.11
Nifty 200,Motilal Oswal Mutual Fund,Motilal Oswal Nifty 200 Momentum 30 ETF,Nifty 200 Momentum 30 TRI,https://www.motilaloswalmf.com/etf/motilal-oswal-nifty-200-momentum-30-etf,MOMOMENTUM,543465,INF247L01BK2,17-02-2022,133.57,0.3,0.33,-0.59,3.77
Nifty 500,Motilal Oswal Mutual Fund,Motilal Oswal Nifty 500 Momentum 50 ETF,Nifty 500 Momentum 50 TRI,https://www.motilaloswalmf.com/mutual-funds/motilal-oswal-nifty-500-momentum-50-etf#Overview,MOMENTUM50,,INF247L01DK8,30-09-2024,258.77,0.41,0.38,-0.84,1.15
Nifty 500,Motilal Oswal Mutual Fund,Motilal Oswal Nifty 500 ETF,NIFTY 500 Total Return Index,https://www.motilaloswalmf.com/mutual-funds/motilal-oswal-nifty-500-etf,MONIFTY500,,INF247L01BU1,06-10-2023,179.51,0.21,0.02,-0.29,2.14
Nifty Midcap 150,Motilal Oswal Mutual Fund,Motilal Oswal Nifty Midcap150 Momentum 50 ETF,Nifty Midcap 150 Momentum 50 TRI,https://www.motilaloswalmf.com/etf/motilal-oswal-nifty-midcap-150-momentum-50-etf#Overview,MOMIDMTM,,INF247L01FQ0,03-07-2025,0.26,0.53,0.1,-1.02,0.4
Nifty Alpha 50,Motilal Oswal Mutual Fund,Motilal Oswal Nifty Alpha 50 ETF,Nifty Alpha 50 TRI,https://www.motilaloswalmf.com/etf/motilal-oswal-nifty-alpha-50-etf,MOALPHA50,,INF247L01FR8,07-07-2025,5.71,0.53,0.29,-0.3,0.39
Nifty SmallCap 250,Motilal Oswal Mutual Fund,Motilal Oswal Nifty Smallcap 250 ETF,Nifty SmallCap 250 TRI,https://www.motilaloswalmf.com/mutual-funds/motilal-oswal-nifty-smallcap-250-etf,MOSMALL250,140518734,INF247L01CH6,21-03-2024,127.5,0.3,0.14,-0.37,1.68
Nifty 50,Motilal Oswal Mutual Fund,Motilal Oswal Nifty 50 Equal Weight ETF,Nifty 50 Equal Weight TRI,https://www.motilaloswalmf.com/etf/motilal-oswal-nifty-50-etf,MON50EQUAL,,INF247L01FC0,07-05-2025,52.38,0.16,0.05,0.07,0.58
Nifty 50,Nippon India Mutual Fund,Nippon India ETF Nifty 50 BeES,Nifty 50 TRI,https://etf.nipponindiaim.com/Funds/details/14,NIFTYBEES,,INF204KB14I2,08-02-2002,50974.75,0.04,0.02,-0.35,23.78
SENSEX,Nippon India Mutual Fund,Nippon India ETF S&P BSE Sensex,S&P BSE Sensex TRI,https://etf.nipponindiaim.com/Funds/details/15,,538683,INF204KA1UN7,24-09-2014,22060,0.04,0.02,-0.09,11.16
Nifty Next 50,Nippon India Mutual Fund,Nippon India ETF Nifty Next 50 Junior BeES,Nifty Next 50 TRI,https://mf.nipponindiaim.com/FundsAndPerformance/Pages/NipponIndia-ETF-Nifty-Next-50-Junior-BeES.aspx,JUNIORBEES,590104,INF732E01045,06-03-2006,6867.09,0.17,0.06,-1.01,19.72
Nifty 100,Nippon India Mutual Fund,Nippon India ETF Nifty 100,Nifty 100 TRI,https://etf.nipponindiaim.com/Funds/details/2,NIF100BEES,537483,INF204K014N5,22-03-2013,318.6,0.5,0.03,-0.92,12.68
Nifty 50,Quantum Mutual Fund,Quantum Nifty 50 ETF,Nifty 50 TRI,https://www.quantumamc.com/equity-funds/quantum-nifty-etf-fund,QNIFTY,,INF082J01028,18-07-2008,77,0.09,0.05,-0.07,17.33
Nifty 50,SBI Mutual Fund,SBI Nifty 50 ETF,Nifty 50 TRI,https://www.sbimf.com/sbimf-scheme-details/sbi-nifty-50-etf-433,SETFNIF50,,INF200KA1FS1,27-07-2015,212190.58,0.04,0.01,-0.08,10.3
SENSEX,SBI Mutual Fund,SBI Sensex ETF,S&P BSE Sensex TRI,https://www.sbimf.com/sbimf-scheme-details/sbi-s--p-bse-sensex-etf-formerly-known-as-(sbi-etf-sensex)-294,,535276,INF200K01VT2,15-03-2013,123001,0.04,0.02,-0.09,12.69
Nifty Next 50,SBI Mutual Fund,SBI Nifty Junior ETF,Nifty Next 50 TRI,https://www.sbimf.com/sbimf-scheme-details/sbi-nifty-next-50-etf-formerly-known-as-(sbi-etf-nifty-next-50)-416,SETFNN50,,INF200KA1598,25-03-2015,2683.24,0.12,0.06,-0.31,10.67
Nifty 50,SBI Mutual Fund,SBI Nifty50 Equal Weight ETF,Nifty 50 Equal Weight TRI,https://etf.sbimf.com/sbimf-scheme-details/sbi-nifty-50-etf-433,SBINEQWETF,544215,INF200KB1282,23-07-2024,28.83,0.3,0.04,-0.42,1.37
Nifty 50,Tata Mutual Fund,Tata Nifty 50 ETF,Nifty 50 TRI,https://www.tatamutualfund.com/mutual-funds/tata-nifty-50-exchange-traded-fund-direct-growth,NETF,,INF277K015R5,01-01-2019,709,0.06,0.17,-0.09,6.87
Nifty 50,UTI Mutual Fund,UTI Nifty 50 ETF,Nifty 50 TRI,https://www.utimf.com/mutual-funds/uti-nifty-50-etf,UTINIFTETF,,INF789F1AZC0,03-09-2015,67853,0.05,0.13,-0.06,10.2
SENSEX,UTI Mutual Fund,UTI BSE Sensex ETF,S&P BSE Sensex TRI,https://www.utimf.com/mutual-funds/uti-bse-sensex-etf,UTISENSETF,539312,INF789FB1X58,01-09-2015,52972,0.05,0.02,-0.08,10.22
Nifty Next 50,UTI Mutual Fund,UTI Nifty Next 50 Exchange Traded Fund,Nifty Next 50 TRI,https://www.utimf.com/mutual-funds/uti-nifty-next-50-exchange-traded-fund,UTINEXT50,540669,INF789F1AUW9,08-08-2017,2120.08,0.15,0,-0.1,8.29
Nifty 100,Zerodha Fund House,Zerodha Nifty 100 ETF,Nifty 100 TRI,https://www.zerodhafundhouse.com/etfs/zerodha-nifty-100-etf-ZE100,TOP100CASE,544194,INF0R8F01067,19-06-2024,89.05,0.25,-0.15,0.03,1.42
